GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
group9,group9.group9,PaymentModel,57,0,0,0,15,0,10,0,10,0
group9,group9.group9,UserEntity,0,57,0,0,0,15,0,10,0,10
group9,group9.group9,Group9Application,0,8,0,0,0,3,0,2,0,2
group9,group9.group9,TableEntity,42,3,0,0,10,1,7,1,7,1
group9,group9.group9,LoginController,59,3,6,0,15,1,5,1,2,1
group9,group9.group9,UserInfoEntity,0,151,0,0,0,40,0,26,0,26
group9,group9.group9,TableModel,17,0,0,0,7,0,5,0,5,0
group9,group9.group9,PaymentController,2,3,0,0,1,1,1,1,1,1
group9,group9.group9,TableController,270,3,14,0,62,1,13,1,6,1
group9,group9.group9,RegistrationController,2,69,1,5,1,16,1,5,0,3
group9,group9.group9,RegistrationModel,0,17,0,0,0,7,0,5,0,5
group9,group9.group9,ReservationModel,52,0,0,0,22,0,15,0,15,0
group9,group9.group9,PasswordEncryption,0,29,0,0,0,8,0,1,0,1
group9,group9.group9,PaymentEntity,0,81,0,0,0,21,0,14,0,14
group9,group9.group9,UserModel,17,0,0,0,7,0,5,0,5,0
group9,group9.group9,HolidayEntity,49,3,0,0,13,1,9,1,9,1
group9,group9.group9,ReservationEntity,65,3,0,0,27,1,18,1,18,1
group9,group9.group9,UserInfoModel,7,59,0,0,3,25,2,17,2,17
group9,group9.group9,ReservationHistoryController,0,43,1,3,0,13,1,3,0,2
group9,group9.group9,LoginModel,0,17,0,0,0,7,0,5,0,5
group9,group9.group9,ReservationController,326,3,50,0,84,1,30,1,5,1
group9,group9.group9,ProfileController,56,338,4,44,8,87,4,25,0,5
